sort,average_clustering,transitivity,global_efficiency,reciprocity,average_degree,nodes,edges
28,0.311714155,0.206376843,0.334154084,0.581027264,14.1517341,1384,9793
29,0.307755329,0.208228147,0.337541724,0.587856856,14.2012848,1401,9948
30,0.311088188,0.210399774,0.335105272,0.572994624,13.72937771,1382,9487
31,0.329283365,0.214837786,0.344858084,0.601738025,14.81318681,1274,9436
32,0.333431056,0.230884692,0.336435164,0.614615466,15.06570513,1248,9401
33,0.343788951,0.218988022,0.338919073,0.598528209,15.2994527,1279,9784
34,0.320039103,0.225804051,0.331971488,0.608741778,14.63664596,1288,9426
35,0.323338982,0.223395652,0.330614712,0.611029257,14.846875,1280,9502
36,0.32387354,0.221208207,0.336461891,0.601657628,14.89786585,1312,9773
37,0.333333097,0.222073912,0.338938227,0.604873294,15.49848943,1324,10260
38,0.334328698,0.228204677,0.342534345,0.607931359,15.15781126,1261,9557
39,0.331127907,0.231912271,0.340180903,0.627730911,14.98541329,1234,9246
40,0.324820952,0.221892264,0.338990548,0.612443096,15.01138952,1317,9885
41,0.33364942,0.219100672,0.339231834,0.600687572,14.39130435,1334,9599
42,0.333768556,0.22109966,0.335820253,0.610367388,14.54612006,1366,9935
43,0.320799421,0.212437261,0.336701325,0.586810768,14.57768053,1371,9993
44,0.326839692,0.216944482,0.338403709,0.592889143,15.04086022,1395,10491
45,0.314093557,0.219301985,0.33727238,0.580993283,14.01388889,1296,9081
46,0.331805547,0.231934805,0.339114281,0.615304745,15.16692913,1270,9631
47,0.329381993,0.223240855,0.338404307,0.621139795,15.2526003,1346,10265
48,0.327532504,0.211721847,0.338220587,0.600720144,14.57434402,1372,9998
49,0.319351423,0.211454583,0.333177948,0.593223658,14.10497238,1448,10212
50,0.318966189,0.213491126,0.333001151,0.602169452,14.50460666,1411,10233
51,0.316602329,0.2144391,0.331555292,0.598012815,14.79258242,1456,10769
52,0.318217366,0.223038693,0.336402006,0.604244192,15.308699,1299,9943
53,0.33802033,0.224960991,0.338474912,0.602245389,15.91068581,1254,9976
54,0.344721425,0.216675607,0.342868059,0.611614895,15.78979436,1313,10366
55,0.320072208,0.210532841,0.33688014,0.586276898,14.97264438,1316,9852
56,0.323186,0.215787325,0.332443591,0.585759245,15.15350224,1342,10168
57,0.340111328,0.218378771,0.334746941,0.609930448,15.59036145,1328,10352
58,0.328986541,0.227107716,0.337180103,0.612729844,15.82835821,1340,10605
59,0.323715112,0.219031747,0.335997329,0.606697978,15.24357977,1285,9794
60,0.339534884,0.228062811,0.341156304,0.615930682,15.48746968,1237,9579
61,0.335467558,0.235753899,0.334914521,0.601931665,15.36951317,1253,9629
62,0.314917709,0.226254354,0.333342969,0.592380346,14.85106383,1269,9423
63,0.313176825,0.226431129,0.332878588,0.588357373,14.82615385,1300,9637
64,0.322271926,0.216628067,0.336854239,0.59040516,14.72106825,1348,9922
65,0.315020542,0.207575839,0.337855098,0.568335589,15.10364964,1370,10346
66,0.311765907,0.213695299,0.339297522,0.586526316,14.64919044,1297,9500
67,0.321930187,0.226251261,0.340124129,0.594749795,15.16640747,1286,9752
68,0.314201513,0.225115489,0.339646438,0.58552027,14.89429658,1315,9793
69,0.325333034,0.212480458,0.334722583,0.573068252,14.54247392,1342,9758
70,0.321300048,0.22091613,0.336966355,0.581214323,14.00436047,1376,9635
71,0.311357453,0.215827945,0.333322476,0.581135174,14.45548961,1348,9743
72,0.315750175,0.209423377,0.337551194,0.559332141,14.90666667,1350,10062
73,0.301940528,0.200964269,0.339075248,0.560332568,13.91324201,1314,9141
74,0.301324481,0.202688596,0.333891783,0.557606762,13.72824427,1310,8992
75,0.29470428,0.173480216,0.334878085,0.516936672,12.20282413,1558,9506
76,0.30547086,0.199346297,0.332922608,0.532382246,12.94065934,1365,8832
77,0.297631487,0.197874427,0.334145186,0.539269515,13.11111111,1278,8378
78,0.314710243,0.200337376,0.334667571,0.543946521,13.23177723,1221,8078
79,0.293971873,0.201591772,0.340334858,0.53259362,13.06589786,1214,7931
80,0.285374543,0.191851782,0.330969753,0.529665138,12.38726334,1162,7197
81,0.288022293,0.197067926,0.337871042,0.534623976,12.44670992,1079,6715
82,0.294457217,0.194910896,0.333609306,0.517060784,11.75559701,1072,6301
83,0.284741491,0.213021615,0.334615649,0.521655128,12.10721248,1026,6211
84,0.279394122,0.19682856,0.332038589,0.501762041,11.74187192,1015,5959
85,0.281091205,0.205513694,0.33238875,0.512148226,11.31750742,1011,5721
86,0.282604792,0.214959985,0.33419979,0.523916293,11.18495298,957,5352
87,0.287293049,0.214170797,0.340427602,0.520463001,11.0456621,876,4838
88,0.253790056,0.217744449,0.333363865,0.504776716,10.8588661,829,4501
89,0.271965687,0.203438226,0.334404925,0.516344229,10.45813953,860,4497
